display_name,ticker_name
"Apple",AAPL.US
"Apple",AAPL.US
"AbbVie",ABBV.US
"Abbott Laboratories",ABT.US
"Accenture",ACN.US
"Adobe",ADBE.US
"American International Group",AIG.US
"AMD",AMD.US
"Amgen",AMGN.US
"American Tower",AMT.US
"Amazon",AMZN.US
"Broadcom",AVGO.US
"American Express",AXP.US
"Boeing",BA.US
"Bank of America",BAC.US
"BNY Mellon",BK.US
"Booking Holdings",BKNG.US
"BlackRock",BLK.US
"Bristol-Myers Squibb",BMY.US
"Berkshire Hathaway",BRK-B.US
"Citigroup",C.US
"Caterpillar",CAT.US
"Charter Communications",CHTR.US
"Colgate-Palmolive",CL.US
"Comcast",CMCSA.US
"Capital One",COF.US
"ConocoPhillips",COP.US
"Costco Wholesale",COST.US
"Salesforce",CRM.US
"Cisco Systems",CSCO.US
"CVS Health",CVS.US
"Chevron",CVX.US
"Deere & Co.",DE.US
"Danaher",DHR.US
"The Walt Disney Company",DIS.US
"Dow",DOW.US
"Duke Energy",DUK.US
"Emerson Electric",EMR.US
"Ford",F.US
"FedEx",FDX.US
"General Dynamics",GD.US
"General Electric",GE.US
"Gilead Sciences",GILD.US
"General Motors",GM.US
"Alphabet",GOOGL.US
"Goldman Sachs",GS.US
"The Home Depot",HD.US
"Honeywell",HON.US
"IBM",IBM.US
"Intel",INTC.US
"Intuit",INTU.US
"Johnson & Johnson",JNJ.US
"JPMorgan Chase",JPM.US
"Kraft Heinz",KHC.US
"Coca-Cola",KO.US
"Linde",LIN.US
"Eli Lilly",LLY.US
"Lockheed Martin",LMT.US
"Lowe's",LOW.US
"Mastercard",MA.US
"McDonald's",MCD.US
"Mondelēz International",MDLZ.US
"Medtronic",MDT.US
"MetLife",MET.US
"Meta Platforms",META.US
"3M",MMM.US
"Altria Group",MO.US
"Merck & Co.",MRK.US
"Morgan Stanley",MS.US
"Microsoft",MSFT.US
"NextEra Energy",NEE.US
"Netflix",NFLX.US
"Nike",NKE.US
"Nvidia",NVDA.US
"Oracle",ORCL.US
"PepsiCo",PEP.US
"Pfizer",PFE.US
"Procter & Gamble",PG.US
"Philip Morris International",PM.US
"PayPal",PYPL.US
"Qualcomm",QCOM.US
"RTX Corporation",RTX.US
"Starbucks",SBUX.US
"Charles Schwab",SCHW.US
"Southern Company",SO.US
"Simon Property Group",SPG.US
"AT&T",T.US
"Target",TGT.US
"Thermo Fisher Scientific",TMO.US
"T-Mobile US",TMUS.US
"Tesla",TSLA.US
"Texas Instruments",TXN.US
"UnitedHealth Group",UNH.US
"Union Pacific",UNP.US
"United Parcel Service",UPS.US
"U.S. Bancorp",USB.US
"Visa",V.US
"Verizon Communications",VZ.US
"Wells Fargo",WFC.US
"Walmart",WMT.US
"ExxonMobil",XOM.US
