Symbol	Security	GICS Sector	GICS Sub-Industry	Headquarters Location	Date added	CIK	Founded
IR	Ingersoll Rand	Industrials	Industrial Machinery & Supplies & Components	Davidson, North Carolina	2020-03-03	0001699150	1859
PODD	Insulet Corporation	Health Care	Health Care Equipment	Acton, Massachusetts	2023-03-15	0001145197	2000
INTC	Intel	Information Technology	Semiconductors	Santa Clara, California	1976-12-31	0000050863	1968
ICE	Intercontinental Exchange	Financials	Financial Exchanges & Data	Atlanta, Georgia	2007-09-26	0001571949	2000
IFF	International Flavors & Fragrances	Materials	Specialty Chemicals	New York City, New York	1976-03-31	0000051253	1958 (1889)
IP	International Paper	Materials	Paper & Plastic Packaging Products & Materials	Memphis, Tennessee	1957-03-04	0000051434	1898
IPG	Interpublic Group of Companies (The)	Communication Services	Advertising	New York City, New York	1992-10-01	0000051644	1961 (1930)
INTU	Intuit	Information Technology	Application Software	Mountain View, California	2000-12-05	0000896878	1983
ISRG	Intuitive Surgical	Health Care	Health Care Equipment	Sunnyvale, California	2008-06-02	0001035267	1995
IVZ	Invesco	Financials	Asset Management & Custody Banks	Atlanta, Georgia	2008-08-21	0000914208	1935
INVH	Invitation Homes	Real Estate	Single-Family Residential REITs	Dallas, Texas	2022-09-19	0001687229	2012
IQV	IQVIA	Health Care	Life Sciences Tools & Services	Durham, North Carolina	2017-08-29	0001478242	1982
IRM	Iron Mountain	Real Estate	Other Specialized REITs	Boston, Massachusetts	2009-01-06	0001020569	1951
JBHT	J.B. Hunt	Industrials	Cargo Ground Transportation	Lowell, Arkansas	2015-07-01	0000728535	1961
JBL	Jabil	Information Technology	Electronic Manufacturing Services	St. Petersburg, Florida	2023-12-18	0000898293	1966
JKHY	Jack Henry & Associates	Financials	Transaction & Payment Processing Services	Monett, Missouri	2018-11-13	0000779152	1976
J	Jacobs Solutions	Industrials	Construction & Engineering	Dallas, Texas	2007-10-26	0000052988	1947
JNJ	Johnson & Johnson	Health Care	Pharmaceuticals	New Brunswick, New Jersey	1973-06-30	0000200406	1886
JCI	Johnson Controls	Industrials	Building Products	Cork, Ireland	2010-08-27	0000833444	1885
JPM	JPMorgan Chase	Financials	Diversified Banks	New York City, New York	1975-06-30	0000019617	2000 (1799 / 1871)
JNPR	Juniper Networks	Information Technology	Communications Equipment	Sunnyvale, California	2006-06-02	0001043604	1996
K	Kellanova	Consumer Staples	Packaged Foods & Meats	Chicago, Illinois	1989-09-11	0000055067	1906
KVUE	Kenvue	Consumer Staples	Personal Care Products	Skillman, New Jersey	2023-08-25	0001944048	2022 (Johnson & Johnson spinoff)
KDP	Keurig Dr Pepper	Consumer Staples	Soft Drinks & Non-alcoholic Beverages	Burlington, Massachusetts	2022-06-21	0001418135	1981
KEY	KeyCorp	Financials	Regional Banks	Cleveland, Ohio	1994-03-01	0000091576	1825
KEYS	Keysight Technologies	Information Technology	Electronic Equipment & Instruments	Santa Rosa, California	2018-11-06	0001601046	2014 (1939)
KMB	Kimberly-Clark	Consumer Staples	Household Products	Irving, Texas	1957-03-04	0000055785	1872
KIM	Kimco Realty	Real Estate	Retail REITs	Jericho, New York	2006-04-04	0000879101	1958
KMI	Kinder Morgan	Energy	Oil & Gas Storage & Transportation	Houston, Texas	2012-05-25	0001506307	1997
KKR	KKR & Co.	Financials	Asset Management & Custody Banks	New York City, New York	2024-06-24	0001404912	1976
KLAC	KLA Corporation	Information Technology	Semiconductor Materials & Equipment	Milpitas, California	1997-09-30	0000319201	1975/1977 (1997)
KHC	Kraft Heinz	Consumer Staples	Packaged Foods & Meats	Chicago, Illinois; Pittsburgh, Pennsylvania	2015-07-06	0001637459	2015 (1869)
KR	Kroger	Consumer Staples	Food Retail	Cincinnati, Ohio	1957-03-04	0000056873	1883
LHX	L3Harris	Industrials	Aerospace & Defense	Melbourne, Florida	2008-09-22	0000202058	2019 (L3 1997, Harris 1895)
LH	Labcorp	Health Care	Health Care Services	Burlington, North Carolina	2004-11-01	0000920148	1978
LRCX	Lam Research	Information Technology	Semiconductor Materials & Equipment	Fremont, California	2012-06-29	0000707549	1980
LW	Lamb Weston	Consumer Staples	Packaged Foods & Meats	Eagle, Idaho	2018-12-03	0001679273	2016 (1950)
LVS	Las Vegas Sands	Consumer Discretionary	Casinos & Gaming	Las Vegas, Nevada	2019-10-03	0001300514	1988
LDOS	Leidos	Industrials	Diversified Support Services	Reston, Virginia	2019-08-09	0001336920	1969
LEN	Lennar	Consumer Discretionary	Homebuilding	Miami, Florida	2005-10-04	0000920760	1954
LII	Lennox International	Industrials	Building Products	Richardson, Texas	2024-12-23	0001069202	1895
LLY	Lilly (Eli)	Health Care	Pharmaceuticals	Indianapolis, Indiana	1970-12-31	0000059478	1876
LIN	Linde plc	Materials	Industrial Gases	Guildford, United Kingdom	1992-07-01	0001707925	1879
LYV	Live Nation Entertainment	Communication Services	Movies & Entertainment	Beverly Hills, California	2019-12-23	0001335258	2010
LKQ	LKQ Corporation	Consumer Discretionary	Distributors	Chicago, Illinois	2016-05-23	0001065696	1998
LMT	Lockheed Martin	Industrials	Aerospace & Defense	Bethesda, Maryland	1957-03-04	0000936468	1995
L	Loews Corporation	Financials	Multi-line Insurance	New York City, New York	1995-05-31	0000060086	1959
LOW	Lowe's	Consumer Discretionary	Home Improvement Retail	Mooresville, North Carolina	1984-02-29	0000060667	1904/1946/1959
LULU	Lululemon Athletica	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Vancouver, Canada	2023-10-18	0001397187	1998
LYB	LyondellBasell	Materials	Specialty Chemicals	Rotterdam, Netherlands	2012-09-05	0001489393	2007
MTB	M&T Bank	Financials	Regional Banks	Buffalo, New York	2004-02-23	0000036270	1856
MPC	Marathon Petroleum	Energy	Oil & Gas Refining & Marketing	Findlay, Ohio	2011-07-01	0001510295	2009 (1887)
MKTX	MarketAxess	Financials	Financial Exchanges & Data	New York City, New York	2019-07-01	0001278021	2000
MAR	Marriott International	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Bethesda, Maryland	1998-05-29	0001048286	1927
MMC	Marsh McLennan	Financials	Insurance Brokers	New York City, New York	1987-08-31	0000062709	1905
MLM	Martin Marietta Materials	Materials	Construction Materials	Raleigh, North Carolina	2014-07-02	0000916076	1993
MAS	Masco	Industrials	Building Products	Livonia, Michigan	1981-06-30	0000062996	1929
MA	Mastercard	Financials	Transaction & Payment Processing Services	Harrison, New York	2008-07-18	0001141391	1966
MTCH	Match Group	Communication Services	Interactive Media & Services	Dallas, Texas	2021-09-20	0000891103	1986
MKC	McCormick & Company	Consumer Staples	Packaged Foods & Meats	Hunt Valley, Maryland	2003-03-20	0000063754	1889
MCD	McDonald's	Consumer Discretionary	Restaurants	Chicago, Illinois	1970-06-30	0000063908	1940
MCK	McKesson Corporation	Health Care	Health Care Distributors	Irving, Texas	1999-01-13	0000927653	1833
MDT	Medtronic	Health Care	Health Care Equipment	Dublin, Ireland	1986-10-31	0001613103	1949
MRK	Merck & Co.	Health Care	Pharmaceuticals	Kenilworth, New Jersey	1957-03-04	0000310158	1891
META	Meta Platforms	Communication Services	Interactive Media & Services	Menlo Park, California	2013-12-23	0001326801	2004
MET	MetLife	Financials	Life & Health Insurance	New York City, New York	2000-12-11	0001099219	1868
MTD	Mettler Toledo	Health Care	Life Sciences Tools & Services	Columbus, Ohio	2016-09-06	0001037646	1945
MGM	MGM Resorts	Consumer Discretionary	Casinos & Gaming	Paradise, Nevada	2017-07-26	0000789570	1986
MCHP	Microchip Technology	Information Technology	Semiconductors	Chandler, Arizona	2007-09-07	0000827054	1989
MU	Micron Technology	Information Technology	Semiconductors	Boise, Idaho	1994-09-27	0000723125	1978
MSFT	Microsoft	Information Technology	Systems Software	Redmond, Washington	1994-06-01	0000789019	1975
MAA	Mid-America Apartment Communities	Real Estate	Multi-Family Residential REITs	Memphis, Tennessee	2016-12-02	0000912595	1977
MRNA	Moderna	Health Care	Biotechnology	Cambridge, Massachusetts	2021-07-21	0001682852	2010
MHK	Mohawk Industries	Consumer Discretionary	Home Furnishings	Calhoun, Georgia	2013-12-23	0000851968	1878
MOH	Molina Healthcare	Health Care	Managed Health Care	Long Beach, California	2022-03-02	0001179929	1980
TAP	Molson Coors Beverage Company	Consumer Staples	Brewers	Chicago, Illinois	1976-06-30	0000024545	2005 (Molson 1786, Coors 1873)
MDLZ	Mondelez International	Consumer Staples	Packaged Foods & Meats	Chicago, Illinois	2012-10-02	0001103982	2012
MPWR	Monolithic Power Systems	Information Technology	Semiconductors	Kirkland, Washington	2021-02-12	0001280452	1997
MNST	Monster Beverage	Consumer Staples	Soft Drinks & Non-alcoholic Beverages	Corona, California	2012-06-28	0000865752	2012 (1935)
MCO	Moody's Corporation	Financials	Financial Exchanges & Data	New York City, New York	1998-07-01	0001059556	1909
MS	Morgan Stanley	Financials	Investment Banking & Brokerage	New York City, New York	1993-07-29	0000895421	1935
MOS	Mosaic Company (The)	Materials	Fertilizers & Agricultural Chemicals	Tampa, Florida	2011-09-26	0001285785	2004 (1865 / 1909)
MSI	Motorola Solutions	Information Technology	Communications Equipment	Chicago, Illinois	1957-03-04	0000068505	1928 (2011)
MSCI	MSCI Inc.	Financials	Financial Exchanges & Data	New York City, New York	2018-04-04	0001408198	1969
NDAQ	Nasdaq, Inc.	Financials	Financial Exchanges & Data	New York City, New York	2008-10-22	0001120193	1971
NTAP	NetApp	Information Technology	Technology Hardware, Storage & Peripherals	San Jose, California	1999-06-25	0001002047	1992
NFLX	Netflix	Communication Services	Movies & Entertainment	Los Gatos, California	2010-12-20	0001065280	1997
NEM	Newmont	Materials	Gold	Denver, Colorado	1969-06-30	0001164727	1921
NWSA	News Corp (Class A)	Communication Services	Publishing	New York City, New York	2013-08-01	0001564708	2013 (News Corporation 1980)
NWS	News Corp (Class B)	Communication Services	Publishing	New York City, New York	2015-09-18	0001564708	2013 (News Corporation 1980)
NEE	NextEra Energy	Utilities	Multi-Utilities	Juno Beach, Florida	1976-06-30	0000753308	1984 (1925)
NKE	Nike, Inc.	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Washington County, Oregon	1988-11-30	0000320187	1964
NI	NiSource	Utilities	Multi-Utilities	Merrillville, Indiana	2000-11-02	0001111711	1912
NDSN	Nordson Corporation	Industrials	Industrial Machinery & Supplies & Components	Westlake, Ohio	2022-02-15	0000072331	1935
NSC	Norfolk Southern	Industrials	Rail Transportation	Atlanta, Georgia	1957-03-04	0000702165	1881/1894 (1980)
NTRS	Northern Trust	Financials	Asset Management & Custody Banks	Chicago, Illinois	1998-01-30	0000073124	1889
NOC	Northrop Grumman	Industrials	Aerospace & Defense	West Falls Church, Virginia	1957-03-04	0001133421	1994 (Northrop 1939, Grumman 1930)
NCLH	Norwegian Cruise Line Holdings	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida	2017-10-13	0001513761	2011 (1966)
